Thu Nov 27 02:22:44 +0000 2014",,,591974898139987968,,,RT @Economynext: #SriLanka to fly emergency medical help, food to #earthquake -struck #Nepal #lka #Economynext http://t.co/t6F2RXD4tj http:\u2026,,,SriLanka;earthquake;Nepal;lka;Economynext;,,, 0,,, 8 	Relevant
Sun Jun 13 15:42:47 +0000 2010",,,591979323164233729,,,India committed in aid to Nepal: President Pranab Mukherjee: President Pranab Mukherjee\u2026 http://t.co/NeP9Pb9l0M SPS\u00ae,,,,,, 0,,, 0 	Relevant
Sat Feb 20 12:29:15 +0000 2010",,,591999007313891328,,,Tomorrow, 26th cud be crucial #earthquake. Need of the hour, not to be complacent. Bhuj was on 26th.,,,earthquake;,,, 1,,, 0 	Irrelevant
Tue Feb 03 07:15:17 +0000 2015",,,591987969000517632,,,#nepal #earthquake @powaiinfo  @R_Khanna @ShashiTharoor @ndtv We need to stop atrocities on nature or bear the brunt http://t.co/NLPnnCqZkz,,,nepal;earthquake;,,, 0,,, 0 	Irrelevant
Tue Nov 27 02:08:56 +0000 2012",,,591984387526234112,,,RT @Thekkapoor: @narendramodi List of Doctor and hospital . #earthquake #Nepal http://t.co/pRIPlyrobc,,,earthquake;Nepal;,,, 0,,, 82 	Irrelevant
Wed Jan 30 03:50:51 +0000 2013",,,591996435811274752,,,How to stop conversion ke Saudagars to reach Nepal,to chase away Vultures &amp; Hyenas you need to work like a Lions family,,,,,, 2,,, 0 	Irrelevant
Fri Dec 11 17:33:45 +0000 2009",,,591992004558499840,,,@ibnebattuta calamity cn b blesing in disguise 4 Nepal as thy wil pitch 4 international aid as hapned in azad kashmir bt v r not alowed to,,,,,, 0,,, 0 	Irrelevant
Wed Apr 22 06:29:23 +0000 2009",,,591984010714157056,,,Quake wake-up call for govt, need better building tech: Expert #Earthquake #Nepal #India http://t.co/85dhBJ2aES http://t.co/Q9m9eLs1ye,,,Earthquake;Nepal;India;,,, 1,,, 0 	Irrelevant
Thu Aug 18 15:57:11 +0000 2011",,,591974595525128195,,,#NepalEarthquake India sends 39 #NDRF team, 2 dogs and 3 tonnes equipment to Nepal Army for rescue operations: Indian Embassy in #Nepal,,,NepalEarthquake;NDRF;Nepal;,,, 0,,, 0 	Relevant
Fri Jun 24 05:51:42 +0000 2011",,,591983032208232448,,,\"@PMOIndia_RC: Indian Government is doing every possible help to the earthquake victims and they need money so plz contribute\",,,,,, 1,,, 1 	Relevant
Fri Dec 07 12:40:04 +0000 2012",,,591989486264852481,,,#Nepal pple can built their collapsed house again,but GOD cant rebuilt his collapsed Temples,Its God who need Humans help,than we need Gods!,,,Nepal;,,, 0,,, 0 	Irrelevant
Thu Mar 14 03:21:20 +0000 2013",,,591991008117673986,,,RT @blewis888: Heartbreaking that this scene no longer exists. #Nepal will need much support in the coming days. #NepalEarthquake http://t.\u2026,,,Nepal;NepalEarthquake;,,, 0,,, 4 	Irrelevant
Tue Aug 16 05:23:41 +0000 2011",,,591979178733408256,,,RT @ANI_news: We have to play a leading role to provide aid to Nepal: Shashidhar Reddy (Former Vice Chairman, NDMA) http://t.co/xnzi2gaRrQ,,,,,, 0,,, 22 	Irrelevant
Fri Dec 03 06:00:10 +0000 2010",,,591986773212856321,,,RT @UNFPAasia: As emergency services step up in post-quake Nepal, don't forget the urgent specialized services pregnant women need; @UNFPAN\u2026,,,,,, 0,,, 27 	Relevant
Tue Aug 16 05:23:41 +0000 2011",,,591990154039988224,,,RT @ANI_news: Nepalese Govt has asked for help with rescue teams, medical teams, and help in damage assessment: MEA on #earthquake http://t\u2026,,,earthquake;,,, 0,,, 51 	Irrelevant
Fri May 01 06:46:01 +0000 2009",,,591990312228106240,,,RT @MonojitMajumdar: Siliguri hospital. By Subham Dutta. #earthquake\n---\n---\nSent by WhatsApp http://t.co/O4uaQBXv1B,,,earthquake;,,, 0,,, 15 	Irrelevant
Tue May 08 19:34:15 +0000 2012",,,591989771473391616,,,RT TimesNow \"Piyush Goyal has offered to send engineers &amp; equipment to restore the power grids in Nepal: Sushma Swaraj\",,,,,, 0,,, 0 	Relevant
Tue Oct 28 14:45:19 +0000 2014",,,594535844972597248,,,Just now earthquake came in chitwan,,,,,, 0,,, 0 	Irrelevant
Sat Jan 14 17:02:30 +0000 2012",,,594553723516428289,,,Google News :  No reports of major damage from small earthquake in Michigan - Washington Times http://t.co/iBWqb7IFEr,,,,,, 0,,, 0 	Irrelevant
Sat Apr 18 15:19:37 +0000 2015",,,594540664483745793,,,RT @the_clear_pic: In the wake of this horrible #earthquake @Lenskart_com clearly thinks it's acceptable to mint some money #disgusting htt\u2026,,,earthquake;disgusting;,,, 0,,, 2 	Irrelevant
Mon Sep 24 11:40:46 +0000 2012",,,594537620744450048,,,What a productive day! distributed 400 packs of Lunch to bhara besi - small community affected by earthquake . http://t.co/iWjyWb97V8,,,,,, 0,,, 0 	Relevant
Sun Mar 21 10:02:37 +0000 2010",,,594536965372026880,,,RT @AmitAgrhere: RT Indicative List of Priority Items for Relief Operations | Earthquake Relief Portal http://t.co/wsuHOkqf2i,,,,,, 0,,, 3 	Relevant
Tue Jun 14 11:25:56 +0000 2011",,,594537158569918464,,,Make all Skype calls to landlines and mobiles \r in and out of Nepal free of charge.\r#earthquake @SunnyLeone http://t.co/mqvNlYp4SG,,,earthquake;,,, 0,,, 0 	Irrelevant
Mon Jan 27 11:16:36 +0000 2014",,,594552045224361985,,,Very nice discussion on Earthquake on @DDNewsLive, the most admirable thing NeelamJi give good time to all to put veiws,,,,,, 0,,, 0 	Irrelevant
Sat Jul 11 17:39:53 +0000 2009",,,594546730735022081,,,RT @Sharanyashettyy: Hope..its only hope that keeps you going.. a very telling picture from the aftermath of Nepal earthquake. http://t.co/\u2026,,,,,, 0,,, 20 	Irrelevant
Tue May 12 18:07:38 +0000 2009",,,594540741105295360,,,Disease outbreak threatens Nepal's earthquake survivors @AJENews  http://t.co/DIowZ33lwe,,,,,, 0,,, 0 	Irrelevant
Wed Jun 03 13:01:07 +0000 2009",,,594537908331098112,,,It's been exactly a week since the Nepal earthquake struck. Memories of the tremors we felt in Delhi are still fresh. Mind still plays games,,,,,, 0,,, 0 	Irrelevant
